model_name,F1_Fold_1,PRE_Fold_1,REC_Fold_1,ROC_AUC_2,F1_Fold_2,PRE_Fold_2,REC_Fold_2,ROC_AUC_3,F1_Fold_3,PRE_Fold_3,REC_Fold_3,ROC_AUC_4,F1_Fold_4,PRE_Fold_4,REC_Fold_4,ROC_AUC_5,F1_Fold_5,PRE_Fold_5,REC_Fold_5,ROC_AUC_6,F1_Fold_6,PRE_Fold_6,REC_Fold_6,ROC_AUC_7,F1_Fold_7,PRE_Fold_7,REC_Fold_7,ROC_AUC_8,F1_Fold_8,PRE_Fold_8,REC_Fold_8,ROC_AUC_9,F1_Fold_9,PRE_Fold_9,REC_Fold_9,ROC_AUC_10,F1_Fold_10,PRE_Fold_10,REC_Fold_10,AUC_AV_SCORE,F1_AV_SCORE,PRE_AV_SCORE,REC_AV_SCORE
KNN_X1,0.445,0.448,0.445,0.702,0.469,0.476,0.471,0.679,0.453,0.461,0.454,0.683,0.444,0.451,0.445,0.706,0.455,0.465,0.452,0.683,0.429,0.435,0.429,0.698,0.461,0.468,0.463,0.691,0.452,0.461,0.454,0.688,0.455,0.462,0.456,0.676,0.451,0.453,0.454,0.688,0.451,0.458,0.452
KNN_X2,0.469,0.477,0.468,0.692,0.46,0.462,0.464,0.711,0.482,0.49,0.482,0.716,0.48,0.485,0.481,0.684,0.462,0.468,0.463,0.695,0.458,0.464,0.458,0.702,0.478,0.483,0.478,0.697,0.465,0.471,0.465,0.707,0.468,0.477,0.467,0.708,0.462,0.468,0.462,0.7,0.468,0.475,0.469
LSVC_X1,0.472,0.455,0.518,,0.488,0.472,0.532,,0.461,0.441,0.504,,0.459,0.441,0.508,,0.464,0.443,0.504,,0.463,0.445,0.507,,0.464,0.442,0.509,,0.484,0.467,0.53,,0.467,0.449,0.511,,0.476,0.455,0.52,0.0,0.47,0.451,0.514
LSVC_X2,0.509,0.513,0.552,,0.496,0.482,0.545,,0.496,0.473,0.539,,0.502,0.487,0.549,,0.512,0.509,0.554,,0.491,0.468,0.533,,0.505,0.57,0.552,,0.506,0.487,0.55,,0.494,0.475,0.537,,0.509,0.493,0.554,0.0,0.502,0.496,0.547
SGD_X1,0.477,0.463,0.506,0.791,0.474,0.463,0.511,0.795,0.462,0.438,0.499,0.806,0.475,0.481,0.509,0.806,0.48,0.468,0.512,0.805,0.499,0.526,0.531,0.804,0.484,0.47,0.517,0.807,0.455,0.462,0.501,0.793,0.478,0.465,0.506,0.783,0.429,0.43,0.474,0.798,0.471,0.467,0.507
SGD_X2,0.502,0.482,0.542,0.799,0.498,0.503,0.531,0.783,0.484,0.47,0.518,0.798,0.501,0.486,0.535,0.797,0.492,0.491,0.527,0.792,0.493,0.49,0.518,0.793,0.499,0.496,0.534,0.794,0.486,0.463,0.515,0.79,0.508,0.514,0.542,0.812,0.496,0.502,0.534,0.797,0.496,0.49,0.53
LGR_X1,0.48,0.459,0.52,0.814,0.486,0.467,0.527,0.82,0.492,0.47,0.532,0.812,0.488,0.482,0.527,0.815,0.486,0.464,0.524,0.81,0.471,0.45,0.512,0.82,0.486,0.466,0.528,0.816,0.486,0.466,0.528,0.807,0.479,0.455,0.519,0.813,0.493,0.47,0.534,0.814,0.485,0.465,0.525
LGR_X2,0.488,0.467,0.528,0.821,0.529,0.547,0.569,0.816,0.514,0.576,0.556,0.83,0.518,0.527,0.558,0.812,0.515,0.493,0.553,0.803,0.495,0.475,0.538,0.83,0.521,0.531,0.563,0.814,0.504,0.512,0.546,0.82,0.492,0.488,0.529,0.826,0.525,0.527,0.566,0.818,0.51,0.514,0.551
LGBM_X1,0.55,0.545,0.57,0.839,0.54,0.535,0.565,0.828,0.531,0.525,0.553,0.84,0.542,0.541,0.559,0.836,0.538,0.536,0.558,0.83,0.531,0.523,0.553,0.826,0.549,0.542,0.572,0.847,0.549,0.545,0.57,0.84,0.551,0.547,0.568,0.83,0.549,0.546,0.572,0.835,0.543,0.538,0.564
LGBM_X2,0.538,0.536,0.559,0.839,0.542,0.536,0.565,0.829,0.532,0.525,0.558,0.841,0.533,0.526,0.559,0.845,0.555,0.546,0.579,0.832,0.536,0.53,0.563,0.833,0.533,0.525,0.557,0.827,0.527,0.522,0.547,0.84,0.541,0.536,0.566,0.839,0.535,0.529,0.558,0.836,0.537,0.531,0.561
CatBoost_X1,0.545,0.546,0.577,0.845,0.548,0.552,0.579,0.849,0.538,0.533,0.567,0.853,0.554,0.55,0.583,0.845,0.538,0.535,0.568,0.843,0.531,0.526,0.561,0.839,0.521,0.512,0.55,0.844,0.542,0.538,0.577,0.844,0.529,0.528,0.557,0.846,0.544,0.545,0.575,0.846,0.539,0.537,0.569
CatBoost_X2,0.561,0.547,0.595,0.85,0.535,0.527,0.571,0.85,0.554,0.548,0.589,0.856,0.537,0.539,0.571,0.831,0.537,0.547,0.569,0.846,0.532,0.527,0.567,0.86,0.549,0.573,0.584,0.846,0.534,0.525,0.568,0.848,0.539,0.536,0.572,0.846,0.54,0.528,0.575,0.849,0.542,0.54,0.576
XGBoost_X1,0.551,0.547,0.575,0.838,0.542,0.546,0.566,0.839,0.535,0.529,0.563,0.832,0.536,0.532,0.561,0.839,0.555,0.553,0.578,0.851,0.551,0.56,0.576,0.823,0.548,0.544,0.572,0.843,0.536,0.53,0.561,0.846,0.548,0.542,0.577,0.841,0.527,0.516,0.556,0.841,0.543,0.54,0.569
XGBoost_X2,0.543,0.547,0.573,0.857,0.563,0.563,0.594,0.849,0.542,0.532,0.573,0.834,0.551,0.55,0.58,0.845,0.538,0.541,0.569,0.833,0.521,0.52,0.552,0.843,0.552,0.557,0.585,0.836,0.538,0.545,0.57,0.853,0.537,0.536,0.565,0.84,0.557,0.566,0.585,0.844,0.544,0.546,0.575
Forest_X1,0.513,0.501,0.556,0.832,0.509,0.489,0.551,0.836,0.518,0.499,0.561,0.839,0.503,0.492,0.548,0.832,0.499,0.488,0.546,0.828,0.511,0.503,0.556,0.832,0.511,0.505,0.559,0.849,0.516,0.503,0.563,0.83,0.515,0.5,0.56,0.827,0.501,0.489,0.549,0.833,0.51,0.497,0.555
Forest_X2,0.511,0.509,0.558,0.823,0.493,0.496,0.547,0.845,0.508,0.505,0.562,0.831,0.507,0.503,0.554,0.828,0.493,0.497,0.547,0.824,0.491,0.487,0.54,0.83,0.487,0.478,0.536,0.843,0.517,0.516,0.563,0.845,0.492,0.487,0.541,0.821,0.479,0.478,0.534,0.833,0.498,0.496,0.548
Tree_X1,0.529,0.508,0.565,0.81,0.525,0.507,0.559,0.807,0.518,0.501,0.553,0.825,0.526,0.507,0.561,0.807,0.498,0.489,0.534,0.819,0.523,0.498,0.557,0.818,0.52,0.513,0.554,0.816,0.518,0.499,0.551,0.82,0.52,0.511,0.551,0.813,0.509,0.486,0.543,0.815,0.519,0.502,0.553
Tree_X2,0.519,0.502,0.556,0.809,0.519,0.517,0.554,0.818,0.53,0.521,0.559,0.8,0.509,0.509,0.543,0.832,0.518,0.518,0.561,0.818,0.54,0.545,0.573,0.825,0.523,0.517,0.555,0.823,0.54,0.534,0.576,0.826,0.52,0.539,0.555,0.822,0.526,0.507,0.558,0.818,0.524,0.521,0.559
