iter	RMSE
0	12051352.81
1	12017817.18
2	11982836.22
3	11947681.83
4	11911344.05
5	11875999.09
6	11843494.93
7	11809023.53
8	11775231.67
9	11742907.98
10	11712892.54
11	11682493.37
12	11652018.98
13	11621429.27
14	11592980.01
15	11563913.74
16	11535345.76
17	11507176.78
18	11476496.93
19	11449137.73
20	11420656.94
21	11395537.66
22	11366705.55
23	11340090.4
24	11315577.21
25	11290547.59
26	11266157.22
27	11239714.31
28	11214280.35
29	11189888.96
30	11165816.44
31	11141237.46
32	11118588.78
33	11092964.95
34	11069586.87
35	11049509.11
36	11023274.06
37	11003218.12
38	10981032.8
39	10957395.99
40	10935492.95
41	10913558.21
42	10888470.07
43	10864685.67
44	10842530.99
45	10819356.51
46	10797461.89
47	10778674.78
48	10758862.93
49	10738730.51
50	10716855.32
51	10698012.7
52	10677550.22
53	10661700.2
54	10643349.62
55	10625780.53
56	10608185.55
57	10590754.93
58	10571634.27
59	10553712.97
60	10534588.49
61	10515708.04
62	10499407.63
63	10483248.41
64	10466179.31
65	10450051.04
66	10434108.14
67	10416535.07
68	10401869.7
69	10385688.61
70	10370842.76
71	10356960.82
72	10342840.88
73	10326805.74
74	10311047.77
75	10295902.26
76	10282473.85
77	10268236.12
78	10254115.02
79	10240558.78
80	10225486.16
81	10211994.44
82	10198539.62
83	10187084.5
84	10174499
85	10162248.1
86	10148586.68
87	10135896.23
88	10123195.14
89	10111291.45
90	10099492.78
91	10087733.01
92	10075047.35
93	10062481.2
94	10051524.92
95	10039525.64
96	10028415.36
97	10015254.45
98	10004796.07
99	9994296.12
100	9985966.645
101	9975966.561
102	9967384.551
103	9957206.945
104	9946166.268
105	9935245.923
106	9927870.62
107	9916407.82
108	9905973.925
109	9895630.128
110	9886060.994
111	9876420.387
112	9866768.196
113	9857785.429
114	9846635.286
115	9836429.577
116	9826206.932
117	9816150.319
118	9807049.581
119	9798083.653
120	9789507.903
121	9779821.071
122	9770802.576
123	9760778.165
124	9753183.484
125	9743173.607
126	9735503.793
127	9729152.846
128	9721621.546
129	9714130.29
130	9707779.395
131	9701459.071
132	9695102.077
133	9687136.56
134	9678403.681
135	9670142.14
136	9663067.739
137	9657059.841
138	9649870.835
139	9642498.048
140	9639258.688
141	9631996.654
142	9625244.693
143	9617668.919
144	9611948.396
145	9604851.058
146	9597739.324
147	9592291.111
148	9585029.94
149	9580295.335
150	9573354.142
151	9567806.836
152	9561239.55
153	9553949.843
154	9545649.839
155	9539831.651
156	9534426.629
157	9528479.338
158	9522999.895
159	9516251.514
160	9509441.525
161	9505133.59
162	9498061.977
163	9492200.436
164	9485356.242
165	9480336.794
166	9475563.688
167	9471106.396
168	9465160.261
169	9460466.853
170	9453733.702
171	9449116.78
172	9443722.232
173	9436374.179
174	9430704.104
175	9426414.791
176	9419851.936
177	9414211.023
178	9408739.014
179	9404123.033
180	9398135.734
181	9393022.079
182	9387308.545
183	9381619.572
184	9376566.354
185	9370410.643
