iter	Passed	Remaining
0	37	7364
1	73	7285
2	112	7367
3	147	7213
4	185	7246
5	235	7601
6	279	7697
7	326	7825
8	370	7869
9	417	7941
10	463	7966
11	503	7884
12	539	7763
13	574	7638
14	610	7530
15	645	7424
16	681	7335
17	717	7251
18	75117	115	34461
18	115	34461
19	115	34461
20	115	34461
21	115	34461
22	115	34461
23	115	34461
24	115	34461
25	115	34461
26	115	34461
27	115	34461
28	115	34461
29	115	34461
30	115	34461
31	115	34461
32	115	34461
33	115	34461
34	115	34461
35	115	34461
36	115	34461
37	115	34461
38	115	34461
39	115	34461
40	115	34461
41	115	34461
42	115	34461
43	115	34461
44	115	34461
45	115	34461
46	115	34461
47	115	34461
48	115	34461
49	115	34461
50	115	34461
51	115	34461
52	115	34461
53	115	34461
54	115	34461
55	115	34461
56	115	34461
57	115	34461
58	115	34461
1	2249	5008
62	2285	4969
63	2321	4933
64	2358	4897
65	2393	4859
66	2430	4825
67	2468	4791
68	2504	4755
69	2539	4715
70	2575	4679
71	2611	4642
72	2648	4606
73	2683	4569
74	2719	4532
75	2754	4493
76	2790	4456
77	2825	4419
78	2861	4382
79	2897	4345
80	2932	4307
81	2967	4270
82	3003	4234
83	3041	4199
84	3079	4166
85	3115	4129
86	3161	4105
87	3209	4084
88	3253	4057
89	3296	4028
90	3340	4000
91	3381	3969
92	3425	3940
93	3471	3914
94	3516	3886
95	3562	3859
96	3608	3831
97	3651	3800
98	3691	3766
99	3734	3734
100	3773	3699
101	3810	3661
102	3846	3622
103	3881	3583
104	3915	3542
105	3951	3504
106	3986	3464
107	4020	3425
108	4055	3386
109	4090	3347
110	4124	3307
111	4161	3269
112	4198	3232
113	4239	3198
114	4275	3160
115	4311	3122
116	4347	3083
117	4383	3046
118	4421	3009
119	4458	2972
120	4504	2941
121	4541	2903
122	4578	2866
123	4616	2829
124	4656	2793
125	4694	2757
126	4741	2725
127	4784	2691
128	4824	2655
129	4859	2616
130	4896	2579
131	4935	2542
132	4971	2504
133	5005	2465
134	5040	2426
135	5077	2389
136	5116	2353
137	5155	2316
138	5195	2280
139	5231	2242
140	5274	2207
141	5310	2169
142	5348	2131
143	5388	2095
144	5425	2058
145	5462	2020
146	5499	1982
147	5535	1944
148	5573	1907
149	5609	1869
150	5644	1831
151	5687	1795
152	5727	1759
153	5766	1722
154	5814	1687
155	5850	1650
156	5887	1612
157	5921	1574
158	5956	1535
159	6000	1500
160	6038	1462
161	6073	1424
162	6108	1386
163	6146	1349
164	6182	1311
165	6219	1273
166	6257	1236
167	6295	1199
168	6335	1162
169	6371	1124
170	6411	1087
171	6448	1049
172	6485	1012
173	6520	974
174	6557	936
175	6593	899
176	6629	861
177	6664	823
178	6700	786
179	6734	748
180	6769	710
181	6805	673
182	6840	635
183	6875	597
184	6910	560
185	6949	523
186	6987	485
187	7024	448
188	7062	411
189	7098	373
190	7138	336
191	7175	298
192	7213	261
193	7249	224
194	7286	186
195	7321	149
196	7360	112
197	7397	74
198	7434	37
199	7472	0
