iter	MultiClass
0	1.688396922
1	1.600215699
2	1.534902421
3	1.481853372
4	1.441191392
5	1.406327764
6	1.374297286
7	1.348648675
8	1.324520679
9	1.303463413
10	1.287383398
11	1.273363855
12	1.260063272
13	1.248952413
14	1.237173256
15	1.226586941
16	1.218069325
17	1.210102407
18	1.203802331
19	1.197172006
20	1.191086273
21	1.184966191
22	1.181052035
23	1.176688031
24	1.173472327
25	1.168681982
26	1.165915488
27	1.162297513
28	1.159179486
29	1.156858005
30	1.152898184
31	1.15004893
32	1.147687129
33	1.145702971
34	1.143453512
35	1.141517178
36	1.139823415
37	1.138105552
38	1.136252342
39	1.133749982
40	1.132009764
41	1.130843123
42	1.129728006
43	1.128320093
44	1.127255666
45	1.125873068
46	1.124622839
47	1.122648119
48	1.121166558
49	1.119889683
50	1.119028991
51	1.117839624
52	1.116666736
53	1.115131837
54	1.114186779
55	1.112444102
56	1.111443549
57	1.110691489
58	1.109669384
59	1.108766285
60	1.108207581
61	1.107570495
62	1.106512834
63	1.106159856
64	1.105682783
65	1.10477542
66	1.104197009
67	1.103717435
68	1.102858766
69	1.101986705
70	1.101054934
71	1.100186028
72	1.099469364
73	1.098536903
74	1.09797645
75	1.097492862
76	1.097144928
77	1.096472412
78	1.096197187
79	1.095732651
80	1.095124182
81	1.094993271
82	1.094157035
83	1.093882131
84	1.093450856
85	1.092771048
86	1.092074508
87	1.091690618
88	1.090636602
89	1.090136221
90	1.089838708
91	1.089467389
92	1.088635939
93	1.088261718
94	1.087513155
95	1.086892361
96	1.086593082
97	1.086217829
98	1.085278302
99	1.084377686
100	1.08377722
101	1.083187466
102	1.08231556
103	1.081713377
104	1.081168385
105	1.080692358
106	1.080526207
107	1.079831551
108	1.07902609
109	1.078355723
110	1.078005305
111	1.077342395
112	1.076724058
113	1.076196343
114	1.075708255
115	1.075159943
116	1.074697603
117	1.074423427
118	1.074028247
119	1.073404528
120	1.072975233
121	1.072767206
122	1.07226311
123	1.071685785
124	1.071524385
125	1.071205882
126	1.070844579
127	1.070277575
128	1.070034675
129	1.069853696
130	1.069322706
131	1.069112853
132	1.068677454
133	1.068218447
134	1.068031027
135	1.067533428
136	1.067362884
137	1.067121442
138	1.06698112
139	1.066568448
140	1.066168773
141	1.065928992
142	1.065435706
143	1.064806771
144	1.064521648
145	1.063819356
146	1.063508404
147	1.063250429
148	1.063155446
149	1.062892701
150	1.06247342
151	1.062088838
152	1.061875845
153	1.061509047
154	1.06141393
155	1.061130709
156	1.061076735
157	1.061019668
158	1.06082131
159	1.060568233
160	1.060202635
161	1.060006816
162	1.059939744
163	1.059552667
164	1.05928023
165	1.059061643
166	1.058576573
167	1.058048785
168	1.057714575
169	1.057610991
170	1.057519589
171	1.057403128
172	1.057201276
173	1.056847437
174	1.056301361
175	1.056259154
176	1.05594487
177	1.05579089
178	1.055483289
179	1.055113966
180	1.054874148
181	1.054735774
182	1.054408562
183	1.054144785
184	1.054016957
185	1.053711116
186	1.053530909
187	1.053216625
188	1.052923838
189	1.052757249
190	1.052671829
191	1.052450594
192	1.052360501
193	1.052042175
194	1.051801583
195	1.051486767
196	1.05126047
197	1.05112312
198	1.050891576
199	1.050564324
200	1.05035575
201	1.04972519
202	1.049462193
203	1.049418355
204	1.049283386
205	1.049186571
206	1.049113355
207	1.048908225
208	1.048614049
209	1.048289527
210	1.048232548
211	1.04820028
212	1.04810346
213	1.047886546
214	1.047818979
215	1.04774089
216	1.047567008
217	1.047373844
218	1.04713713
219	1.046863566
220	1.046623066
221	1.046401503
222	1.046032321
223	1.04589769
224	1.045874073
225	1.045749542
226	1.045430731
227	1.044956246
228	1.044728324
229	1.044510663
230	1.04446091
231	1.044415089
232	1.044237389
233	1.043945113
234	1.043842729
235	1.043793185
236	1.043568905
237	1.043519372
238	1.043430612
239	1.043150017
240	1.042999273
241	1.042896282
242	1.042740986
243	1.042472503
244	1.042251451
245	1.042065081
246	1.041870868
247	1.041773452
248	1.041625075
249	1.041550137
250	1.041444486
251	1.041365559
252	1.041119768
253	1.040889118
254	1.040734858
255	1.040183894
256	1.039885814
257	1.039672823
258	1.039398528
259	1.039250175
260	1.038990292
261	1.0388002
262	1.038703616
263	1.038522519
264	1.03812882
265	1.038004361
266	1.037968139
267	1.037753749
268	1.037666816
269	1.037567343
270	1.037397796
271	1.037356142
272	1.037268091
273	1.037086104
274	1.037057181
275	1.036963152
276	1.036844271
277	1.03655613
278	1.036461832
279	1.036379971
280	1.036222244
281	1.036021344
282	1.035837327
283	1.035592661
284	1.035489787
285	1.035415942
286	1.035294565
287	1.035240279
288	1.034965339
289	1.034929132
290	1.034621169
291	1.034500284
292	1.034309012
293	1.034269887
294	1.034248844
295	1.034225629
296	1.034203176
297	1.033844049
298	1.033514271
299	1.033463826
