iter	Passed	Remaining
0	35	28479
1	78	31129
2	118	31394
3	154	30805
4	188	29907
5	201	26714
6	237	26891
7	286	28345
8	335	29493
9	377	29857
10	426	30580
11	480	31550
12	529	32036
13	576	32375
14	625	32723
15	659	32304
16	719	33157
17	758	32967
18	793	32603
19	833	32511
20	872	32380
21	908	32118
22	948	32044
23	984	31844
24	1022	31705
25	1059	31533
26	1091	31257
27	1126	31064
28	1159	30813
29	1201	30842
30	1236	30682
31	1274	30577
32	1316	30604
33	1367	30802
34	1409	30803
35	1453	30847
36	1492	30777
37	1531	30713
38	1569	30616
39	1606	30524
40	1652	30591
41	1721	31067
42	1768	31132
43	1826	31376
44	1885	31630
45	1929	31624
46	1977	31676
47	2015	31573
48	2054	31486
49	2091	31372
50	2127	31242
51	2162	31103
52	2199	30997
53	2232	30838
54	2270	30749
55	2311	30714
56	2352	30661
57	2388	30556
58	2425	30466
59	2458	30327
60	2495	30234
61	2534	30170
62	2567	30034
63	2604	29951
64	2637	29824
65	2671	29712
66	2711	29666
67	2754	29650
68	2801	29682
69	2845	29678
70	2889	29664
71	2925	29577
72	2961	29498
73	2997	29410
74	3049	29479
75	3097	29507
76	3151	29591
77	3199	29616
78	3249	29652
79	3299	29692
80	3346	29702
81	3386	29649
82	3425	29588
83	3465	29536
84	3503	29474
85	3542	29407
86	3580	29347
87	3619	29282
88	3665	29284
89	3710	29269
90	3754	29253
91	3793	29189
92	3833	29142
93	3872	29085
94	3913	29041
95	3955	29004
96	3992	28932
97	4031	28879
98	4070	28824
99	4111	28777
100	4149	28721
101	4191	28682
102	4231	28634
103	4270	28582
104	4311	28540
105	4358	28532
106	4409	28558
107	4461	28584
108	4512	28606
109	4567	28648
110	4620	28682
111	4669	28686
112	4718	28685
113	4757	28629
114	4797	28575
115	4833	28503
116	4867	28416
117	4902	28334
118	4938	28261
119	4974	28188
120	5010	28115
121	5043	28029
122	5079	27957
123	5116	27892
124	5151	27816
125	5187	27746
126	5228	27706
127	5266	27651
128	5301	27576
129	5336	27503
130	5372	27437
131	5410	27381
132	5446	27312
133	5484	27258
134	5521	27198
135	5557	27135
136	5591	27057
137	5624	26980
138	5664	26939
139	5708	26913
140	5755	26899
141	5805	26903
142	5861	26930
143	5910	26926
144	5960	26926
145	6009	26918
146	6055	26899
147	6094	26848
148	6131	26787
149	6169	26735
150	6206	26675
151	6242	26613
152	6278	26548
153	6313	26483
154	6348	26417
155	6384	26357
156	6418	26286
157	6454	26226
158	6493	26178
159	6530	26120
160	6565	26057
161	6599	25989
162	6637	25939
163	6673	25880
164	6709	25823
165	6742	25752
166	6782	25708
167	6819	25656
168	6857	25604
169	6890	25535
170	6923	25468
171	6961	25418
172	6995	25352
173	7036	25314
174	7075	25271
175	7130	25279
176	7178	25266
177	7235	25283
178	7286	25279
179	7337	25272
180	7383	25249
181	7421	25201
182	7452	25126
183	7484	25055
184	7515	24983
185	7544	24904
186	7573	24827
187	7606	24759
188	7645	24717
189	7686	24677
190	7719	24613
191	7748	24536
192	7783	24479
193	7812	24405
194	7845	24339
195	7876	24273
196	7908	24207
197	7937	24132
198	7966	24060
199	7995	23987
200	8025	23916
201	8054	23845
202	8085	23777
203	8113	23704
204	8142	23631
205	8171	23561
206	8199	23490
207	8229	23423
208	8260	23357
209	8289	23290
210	8318	23220
211	8347	23152
212	8375	23083
213	8406	23018
214	8447	22984
215	8486	22944
216	8525	22904
217	8567	22871
218	8604	22827
219	8645	22793
220	8685	22755
221	8723	22713
222	8766	22683
223	8800	22629
224	8832	22571
225	8864	22513
226	8895	22453
227	8924	22390
228	8959	22339
229	8989	22278
230	9019	22216
231	9049	22154
232	9077	22089
233	9107	22030
234	9137	21968
235	9168	21910
236	9197	21848
237	9226	21787
238	9257	21729
239	9288	21672
240	9318	21615
241	9348	21555
242	9379	21499
243	9410	21443
244	9441	21388
245	9475	21339
246	9508	21288
247	9537	21229
248	9570	21178
249	9599	21118
250	9635	21075
251	9671	21030
252	9706	20985
253	9746	20950
254	9784	20912
255	9822	20872
256	9863	20840
257	9901	20799
258	9939	20761
259	9967	20702
260	9997	20645
261	10025	20586
262	10055	20531
263	10086	20478
264	10115	20421
265	10143	20362
266	10171	20305
267	10201	20250
268	10231	20197
269	10262	20144
270	10292	20090
271	10321	20035
272	10350	19979
273	10378	19923
274	10408	19871
275	10438	19817
276	10467	19763
277	10495	19707
278	10524	19653
279	10553	19599
280	10585	19551
281	10614	19497
282	10643	19444
283	10673	19392
284	10703	19340
285	10737	19296
286	10767	19246
287	10796	19193
288	10825	19141
289	10854	19088
290	10885	19040
291	10914	18988
292	10945	18939
293	10981	18900
294	11021	18867
295	11058	18829
296	11095	18790
297	11129	18749
298	11168	18713
299	11205	18675
300	11239	18633
301	11274	18591
302	11303	18541
303	11333	18490
304	11362	18440
305	11392	18391
306	11424	18346
307	11456	18299
308	11486	18252
309	11518	18206
310	11547	18156
311	11577	18107
312	11606	18059
313	11635	18009
314	11666	17962
315	11698	17917
316	11727	17869
317	11758	17823
318	11790	17778
319	11820	17731
320	11849	17682
321	11878	17632
322	11906	17583
323	11936	17535
324	11965	17488
325	11996	17442
326	12026	17396
327	12066	17363
328	12096	17316
329	12124	17268
330	12154	17221
331	12182	17173
332	12212	17127
333	12243	17082
334	12277	17042
335	12312	17002
336	12349	16966
337	12386	16930
338	12425	16896
339	12460	16857
340	12498	16823
341	12533	16784
342	12571	16749
343	12603	16707
344	12633	16661
345	12664	16617
346	12697	16576
347	12729	16533
348	12760	16489
349	12789	16444
350	12820	16400
351	12848	16352
352	12878	16307
353	12907	16261
354	12937	16216
355	12967	16172
356	12996	16127
357	13025	16081
358	13053	16035
359	13083	15991
360	13113	15946
361	13144	15904
362	13172	15858
363	13200	15812
364	13229	15767
365	13259	15722
366	13288	15677
367	13319	15636
368	13348	15591
369	13378	15547
370	13409	15505
371	13442	15466
372	13474	15424
373	13504	15381
374	13532	15337
375	13561	15292
376	13590	15248
377	13628	15214
378	13663	15177
379	13706	15149
380	13746	15117
381	13783	15082
382	13821	15048
383	13857	15011
384	13896	14978
385	13932	14942
386	13962	14900
387	13992	14858
388	14022	14815
389	14051	14771
390	14080	14728
391	14109	14684
392	14137	14641
393	14167	14598
394	14196	14556
395	14225	14512
396	14254	14469
397	14282	14425
398	14312	14383
399	14342	14342
400	14372	14301
401	14402	14259
402	14431	14216
403	14461	14175
404	14490	14132
405	14521	14092
406	14550	14049
407	14579	14007
408	14607	13964
409	14636	13922
410	14668	13882
411	14699	13843
412	14730	13803
413	14761	13763
414	14792	13723
415	14822	13682
416	14851	13640
417	14880	13598
418	14908	13556
419	14937	13515
420	14973	13480
421	15008	13443
422	15043	13407
423	15080	13373
424	15116	13338
425	15154	13304
426	15190	13269
427	15226	13234
428	15263	13199
429	15298	13163
430	15326	13121
431	15355	13080
432	15385	13039
433	15419	13003
434	15449	12963
435	15478	12922
436	15508	12882
437	15538	12842
438	15569	12802
439	15598	12762
440	15627	12721
441	15656	12681
442	15688	12643
443	15719	12603
444	15749	12564
445	15780	12525
446	15807	12483
447	15852	12455
448	15894	12425
449	15933	12392
450	15966	12355
451	16001	12319
452	16035	12283
453	16069	12246
454	16103	12210
455	16137	12173
456	16171	12137
457	16207	12102
458	16242	12066
459	16283	12035
460	16328	12007
461	16379	11983
462	16429	11958
463	16477	11932
464	16527	11907
465	16572	11878
466	16617	11849
467	16665	11822
468	16702	11788
469	16741	11754
470	16780	11721
471	16817	11686
472	16852	11650
473	16885	11613
474	16919	11576
475	16953	11540
476	16989	11504
477	17026	11469
478	17060	11433
479	17102	11401
480	17138	11366
481	17177	11332
482	17212	11296
483	17250	11262
484	17286	11227
485	17322	11191
486	17357	11156
487	17397	11123
488	17439	11091
489	17477	11057
490	17512	11021
491	17546	10984
492	17580	10948
493	17615	10911
494	17653	10877
495	17690	10842
496	17742	10816
497	17793	10790
498	17840	10761
499	17887	10732
500	17939	10706
501	17983	10675
502	18030	10646
503	18064	10609
504	18099	10573
505	18137	10538
506	18171	10501
507	18205	10464
508	18240	10428
509	18279	10394
510	18313	10357
511	18349	10321
512	18383	10284
513	18414	10246
514	18449	10209
515	18484	10173
516	18517	10136
517	18553	10100
518	18590	10065
519	18633	10033
520	18674	10000
521	18709	9964
522	18758	9935
523	18806	9905
524	18843	9870
525	18881	9835
526	18916	9799
527	18955	9764
528	18991	9729
529	19030	9694
530	19083	9667
531	19134	9639
532	19189	9612
533	19247	9587
534	19305	9562
535	19360	9535
536	19430	9516
537	19471	9482
538	19519	9451
539	19560	9417
540	19605	9385
541	19648	9352
542	19690	9319
543	19733	9286
544	19773	9251
545	19815	9218
546	19859	9185
547	19897	9150
548	19936	9115
549	19974	9079
550	20017	9045
551	20057	9011
552	20096	8976
553	20151	8948
554	20218	8925
555	20291	8904
556	20344	8875
557	20420	8856
558	20519	8846
559	20573	8817
560	20620	8784
561	20670	8753
562	20716	8720
563	20764	8688
564	20815	8657
565	20856	8622
566	20896	8587
567	20934	8550
568	20973	8514
569	21013	8479
570	21049	8441
571	21093	8408
572	21133	8372
573	21176	8337
574	21220	8303
575	21259	8267
576	21298	8231
577	21337	8195
578	21380	8160
579	21427	8127
580	21464	8090
581	21497	8052
582	21530	8013
583	21565	7976
584	21599	7938
585	21637	7901
586	21673	7864
587	21707	7826
588	21747	7790
589	21786	7754
590	21823	7717
591	21869	7683
592	21919	7651
593	21966	7618
594	22020	7586
595	22073	7555
596	22126	7523
597	22172	7489
598	22216	7454
599	22252	7417
600	22289	7380
601	22324	7342
602	22360	7305
603	22394	7266
604	22431	7229
605	22469	7193
606	22505	7155
607	22541	7118
608	22578	7081
609	22616	7044
610	22652	7007
611	22686	6969
612	22719	6930
613	22752	6892
614	22788	6855
615	22823	6817
616	22856	6779
617	22891	6741
618	22925	6703
619	22965	6667
620	23001	6629
621	23040	6593
622	23080	6557
623	23118	6520
624	23157	6483
625	23197	6447
626	23246	6414
627	23297	6380
628	23346	6347
629	23391	6311
630	23431	6275
631	23470	6238
632	23515	6203
633	23550	6166
634	23583	6127
635	23614	6089
636	23647	6051
637	23678	6012
638	23708	5973
639	23739	5934
640	23768	5895
641	23795	5856
642	23825	5817
643	23854	5778
644	23885	5739
645	23915	5701
646	23943	5662
647	23972	5623
648	24001	5584
649	24030	5545
650	24061	5507
651	24090	5468
652	24119	5429
653	24148	5390
654	24177	5352
655	24208	5313
656	24238	5275
657	24267	5237
658	24297	5198
659	24326	5160
660	24355	5121
661	24386	5083
662	24416	5045
663	24446	5007
664	24475	4968
665	24504	4930
666	24533	4892
667	24566	4854
668	24601	4817
669	24641	4781
670	24679	4744
671	24717	4708
672	24753	4671
673	24790	4634
674	24826	4597
675	24864	4560
676	24900	4523
677	24929	4485
678	24958	4447
679	24989	4409
680	25017	4371
681	25046	4333
682	25076	4295
683	25106	4257
684	25137	4220
685	25166	4182
686	25195	4144
687	25223	4106
688	25252	4068
689	25282	4030
690	25312	3992
691	25345	3955
692	25378	3918
693	25409	3880
694	25440	3843
695	25468	3805
696	25497	3767
697	25526	3730
698	25555	3692
699	25586	3655
700	25618	3618
701	25648	3580
702	25679	3543
703	25710	3505
704	25741	3468
705	25770	3431
706	25798	3393
707	25828	3356
708	25862	3319
709	25893	3282
710	25945	3247
711	25998	3213
712	26056	3179
713	26124	3146
714	26160	3109
715	26201	3073
716	26237	3037
717	26275	3000
718	26310	2964
719	26342	2926
720	26371	2889
721	26401	2852
722	26431	2814
723	26460	2777
724	26489	2740
725	26518	2703
726	26548	2665
727	26578	2628
728	26609	2591
729	26642	2554
730	26672	2517
731	26701	2480
732	26729	2443
733	26759	2406
734	26789	2369
735	26818	2332
736	26847	2294
737	26876	2257
738	26905	2220
739	26935	2183
740	26965	2147
741	26995	2110
742	27024	2073
743	27053	2036
744	27082	1999
745	27113	1962
746	27143	1925
747	27173	1889
748	27202	1852
749	27232	1815
750	27261	1778
751	27292	1742
752	27325	1705
753	27367	1669
754	27406	1633
755	27445	1597
756	27482	1561
757	27521	1524
758	27556	1488
759	27596	1452
760	27634	1416
761	27669	1379
762	27699	1343
763	27728	1306
764	27758	1270
765	27788	1233
766	27818	1196
767	27848	1160
768	27876	1123
769	27904	1087
770	27934	1050
771	27964	1014
772	27994	977
773	28023	941
774	28052	904
775	28081	868
776	28111	832
777	28141	795
778	28170	759
779	28199	723
780	28229	686
781	28258	650
782	28290	614
783	28320	577
784	28349	541
785	28378	505
786	28408	469
787	28439	433
788	28468	396
789	28498	360
790	28527	324
791	28558	288
792	28588	252
793	28621	216
794	28651	180
795	28687	144
796	28723	108
797	28761	72
798	28797	36
799	28832	0
