iter	MultiClass
0	1.688027988
1	1.610712537
2	1.548244144
3	1.495585048
4	1.45154691
5	1.41567369
6	1.381854704
7	1.355765801
8	1.331921964
9	1.308994182
10	1.291292736
11	1.273114392
12	1.25850939
13	1.245173011
14	1.231894451
15	1.220731664
16	1.209817235
17	1.202428271
18	1.194590578
19	1.187864982
20	1.180503121
21	1.174718465
22	1.16955786
23	1.164946617
24	1.160009638
25	1.155559907
26	1.150523921
27	1.14715401
28	1.14383407
29	1.140424894
30	1.138292262
31	1.135404617
32	1.132183354
33	1.129576472
34	1.127515325
35	1.124963245
36	1.123161102
37	1.121220062
38	1.118802803
39	1.117260848
40	1.11553028
41	1.113422617
42	1.112101174
43	1.11097115
44	1.107915847
45	1.106839636
46	1.105804441
47	1.104185987
48	1.102505958
49	1.100992231
50	1.100084867
51	1.099457724
52	1.098600543
53	1.097389757
54	1.095782031
55	1.095176908
56	1.093613645
57	1.091762067
58	1.091717533
59	1.091037341
60	1.090420838
61	1.08951216
62	1.088078037
63	1.087293143
64	1.086119493
65	1.085557643
66	1.084415322
67	1.083961581
68	1.083795563
69	1.083635916
70	1.083070008
71	1.08263778
72	1.082256687
73	1.08129871
74	1.08080807
75	1.079804268
76	1.079277886
77	1.079209712
78	1.078624588
79	1.078472601
80	1.076709345
81	1.076297946
82	1.076068806
83	1.075359478
84	1.075190456
85	1.075182306
86	1.075035354
87	1.074637569
88	1.07462686
89	1.074186643
90	1.073536509
91	1.073243693
92	1.073179399
93	1.072460038
94	1.072292239
95	1.07213765
96	1.072126541
97	1.07132077
98	1.071310612
99	1.070858728
100	1.070335021
101	1.070321996
102	1.070043192
103	1.069898346
104	1.069809315
105	1.06951976
106	1.069492473
107	1.069479477
108	1.069391716
109	1.069009373
110	1.068995666
111	1.068122026
112	1.068079268
113	1.068063933
114	1.068050979
115	1.068037022
116	1.068022517
117	1.068006889
118	1.067795109
119	1.067635994
120	1.067619215
121	1.067604589
122	1.067589864
123	1.067162831
124	1.06714519
125	1.067128457
126	1.067113242
127	1.067088475
128	1.067071335
129	1.067057326
130	1.067040804
131	1.066418238
132	1.064996546
133	1.064163995
134	1.064149709
135	1.064134871
136	1.064120609
137	1.064105212
138	1.064038936
139	1.064023628
140	1.064007284
141	1.063992953
142	1.06292479
143	1.062909978
144	1.062893865
145	1.062879925
146	1.062863425
147	1.062847668
148	1.062833068
149	1.062817227
150	1.062801128
151	1.062784018
152	1.062592237
153	1.062493097
154	1.062479222
155	1.062463256
156	1.062448712
157	1.06243287
158	1.062418049
159	1.062401924
160	1.06238501
161	1.062367599
162	1.062350995
163	1.06233502
164	1.062319731
165	1.06230218
166	1.061083067
167	1.061070222
168	1.061052907
169	1.061002515
170	1.060985909
171	1.060969032
172	1.060952449
173	1.060934446
174	1.060916295
175	1.060780252
176	1.06076446
177	1.060748274
178	1.060537488
179	1.060521575
180	1.060506365
181	1.060490451
182	1.060473616
183	1.060457657
184	1.060443996
185	1.060428849
186	1.060412234
187	1.060321488
188	1.060305722
189	1.060274898
190	1.060255472
191	1.060241476
192	1.060224276
193	1.059856669
194	1.059841159
195	1.059824668
196	1.059808893
197	1.059792587
198	1.059608536
199	1.059591615
200	1.0595769
201	1.059561298
202	1.059544693
203	1.059529684
204	1.059513393
205	1.059496965
206	1.059481775
207	1.059465337
208	1.059428013
209	1.059412007
210	1.059366014
211	1.059352088
212	1.059194169
213	1.0591775
214	1.059161596
215	1.05914489
216	1.059130948
217	1.059117569
218	1.059100216
219	1.059082571
220	1.059066312
221	1.059050286
222	1.059033585
223	1.059017929
224	1.059001306
225	1.058985137
226	1.058953734
227	1.058938153
228	1.058923158
229	1.058906885
230	1.058890728
231	1.058875551
232	1.058742685
233	1.058725776
234	1.058695365
235	1.058681129
236	1.058665381
237	1.058647984
238	1.058618236
239	1.058603772
240	1.058587067
241	1.058571714
242	1.058556726
243	1.058541449
244	1.058528187
245	1.058510135
246	1.058401979
247	1.058306351
248	1.058291535
249	1.058274886
250	1.058257065
251	1.058239212
252	1.058219112
253	1.058204013
254	1.058188422
255	1.058150991
256	1.058134987
257	1.058120181
258	1.058104071
259	1.058086851
260	1.058070888
261	1.058054876
262	1.05804042
263	1.058025406
264	1.057907404
265	1.057890291
266	1.057861656
267	1.05784674
268	1.057832697
269	1.05781655
270	1.057800445
271	1.057783849
272	1.057768676
273	1.057752311
274	1.057737481
275	1.057708929
276	1.057692978
277	1.057676981
278	1.057661523
279	1.057646109
280	1.057561063
281	1.057544145
282	1.057526541
283	1.057510306
284	1.057493601
285	1.057479221
286	1.057464361
287	1.057450678
288	1.057352989
289	1.057212164
290	1.057196868
291	1.057181444
292	1.057165611
293	1.057149789
294	1.057134771
295	1.057118658
296	1.057101547
297	1.057086422
298	1.057071151
299	1.057057886
300	1.057040967
301	1.056586855
302	1.056571169
303	1.056555831
304	1.056538849
305	1.056523025
306	1.056506934
307	1.056490943
308	1.056474569
309	1.05645926
310	1.056444254
311	1.056340638
312	1.056317065
313	1.056300336
314	1.056284068
315	1.056267386
316	1.05624999
317	1.056234779
318	1.056217751
319	1.056203826
320	1.056189178
321	1.056173143
322	1.056157906
323	1.056142442
324	1.056097523
325	1.056081187
326	1.056066931
327	1.056027534
328	1.056013095
329	1.056000491
330	1.055983697
331	1.055968468
332	1.05595259
333	1.05593654
334	1.05592145
335	1.055905978
336	1.05589202
337	1.055875769
338	1.055860651
339	1.055788091
340	1.055772603
341	1.055756513
342	1.055740852
343	1.055725158
344	1.055708228
345	1.055691745
346	1.055676303
347	1.055660257
348	1.055645444
349	1.055630761
350	1.055614941
351	1.055599276
352	1.055584205
353	1.055569225
354	1.055552493
355	1.055536575
356	1.055517525
357	1.055501041
358	1.055485044
359	1.055468786
360	1.055452604
361	1.055437141
362	1.055419287
363	1.055405442
364	1.055391768
365	1.05537589
366	1.05529187
367	1.055277137
368	1.055261503
369	1.055245717
370	1.055229435
371	1.0552021
372	1.055188484
373	1.055175459
374	1.055158008
375	1.055113603
376	1.055096905
377	1.055080004
378	1.05493739
379	1.054920082
380	1.054905225
381	1.054828598
382	1.054813158
383	1.054797522
384	1.054745163
385	1.054728085
386	1.054711351
387	1.05466476
388	1.054648825
389	1.054633951
390	1.054555317
391	1.054539916
392	1.054524856
393	1.054508487
394	1.054493317
395	1.054477792
396	1.054247952
397	1.054233044
398	1.054216778
399	1.054200862
400	1.0541871
401	1.054169283
402	1.054154077
403	1.054137058
404	1.054121261
405	1.052927824
406	1.052911716
407	1.052894781
408	1.052881245
409	1.052867037
410	1.052851066
411	1.052835912
412	1.052819423
413	1.052802974
414	1.052786756
415	1.052769431
416	1.052754772
417	1.052735202
418	1.052674555
419	1.052659348
420	1.052643752
421	1.052630101
422	1.052614272
423	1.052598718
424	1.052583569
425	1.05256783
426	1.052551319
427	1.052535358
428	1.052520345
429	1.052505504
430	1.052489552
431	1.052473177
432	1.052457628
433	1.052443972
434	1.052427765
435	1.052411365
436	1.052395045
437	1.052257688
438	1.052243054
439	1.05222611
440	1.052210182
441	1.052194266
442	1.052177743
443	1.052161404
444	1.052145981
445	1.052131392
446	1.052116999
447	1.05209969
448	1.052084347
449	1.052069089
450	1.052053158
451	1.052038203
452	1.052023851
453	1.052008393
454	1.051994041
455	1.051977752
456	1.051962935
457	1.0519482
458	1.051933657
459	1.051606048
460	1.051591872
461	1.051574495
462	1.051559598
463	1.051545393
464	1.051530661
465	1.051515503
466	1.05150104
467	1.051485359
468	1.051471231
469	1.051456817
470	1.051442415
471	1.051427705
472	1.051414002
473	1.050644065
474	1.050629138
475	1.050615251
476	1.050598977
477	1.050581297
478	1.050565477
479	1.050549172
480	1.050534346
481	1.050517799
482	1.050502327
483	1.050488669
484	1.0504729
485	1.050457349
486	1.050441206
487	1.050337919
488	1.050322567
489	1.050305298
490	1.050290377
491	1.050275974
492	1.050260914
493	1.050246405
494	1.050230459
495	1.050216318
496	1.050200885
497	1.050184386
498	1.050157155
499	1.050141417
500	1.049052749
501	1.049036765
502	1.049020331
503	1.049006191
504	1.048988668
505	1.048971869
506	1.048957106
507	1.048942557
508	1.04892475
509	1.048907732
510	1.048892147
511	1.048876629
512	1.048847869
513	1.04883157
514	1.04881583
515	1.048801055
516	1.048785088
517	1.04876859
518	1.048753683
519	1.048737683
520	1.048720729
521	1.048704712
522	1.048677906
523	1.048660001
524	1.048644602
525	1.048629169
526	1.048613346
527	1.048600549
528	1.048584511
529	1.048569386
530	1.048554934
531	1.048539981
532	1.048523513
533	1.048507445
534	1.048492651
535	1.048477667
536	1.048461443
537	1.048444967
538	1.048430358
539	1.048414639
540	1.048398742
541	1.04838366
542	1.048368322
543	1.048355331
544	1.048339399
545	1.048323889
546	1.04830976
547	1.048293928
548	1.048278487
549	1.048262689
550	1.048240985
551	1.048222846
552	1.048206156
553	1.048189604
554	1.048173659
555	1.048158293
556	1.048142798
557	1.04812669
558	1.048108419
559	1.048093797
560	1.048001258
561	1.04798428
562	1.047970317
563	1.047953767
564	1.047939743
565	1.047922696
566	1.04790675
567	1.047889948
568	1.047875203
569	1.047859223
570	1.047842812
571	1.047828982
572	1.047803871
573	1.047788526
574	1.047771749
575	1.047756933
576	1.047740655
577	1.047724816
578	1.047708545
579	1.047690659
580	1.047673665
581	1.047659326
582	1.047643711
583	1.047628075
584	1.047613378
585	1.047598338
586	1.047583966
587	1.047569017
588	1.04755354
589	1.047537707
590	1.047523483
591	1.047508717
592	1.04742177
593	1.04740682
594	1.047356185
595	1.047339026
596	1.047322675
597	1.047306074
598	1.047292118
599	1.047276765
600	1.047261061
601	1.047244669
602	1.047227885
603	1.047211955
604	1.047196358
605	1.047181317
606	1.047164553
607	1.047149364
608	1.047133861
609	1.047119231
610	1.047103498
611	1.047087068
612	1.047073383
613	1.047058708
614	1.047042585
615	1.047026198
616	1.047010804
617	1.04699443
618	1.046978593
619	1.046965319
620	1.046949904
621	1.046934526
622	1.046919641
623	1.04690494
624	1.046888515
625	1.046871928
626	1.046854714
627	1.04683999
628	1.046823959
629	1.046807984
630	1.046791689
631	1.046777615
632	1.046761477
633	1.046745192
634	1.046729482
635	1.046713058
636	1.046696191
637	1.046682191
638	1.046667323
639	1.04665078
640	1.046636131
641	1.046619328
642	1.04660459
643	1.046589095
644	1.046573665
645	1.04655901
646	1.046541891
647	1.046525728
648	1.046508041
649	1.046494146
650	1.046479087
651	1.046465333
652	1.046449088
653	1.046434534
654	1.046418123
655	1.046403026
656	1.04638851
657	1.046307476
658	1.046290113
659	1.046274231
660	1.046258373
661	1.046236685
662	1.046221837
663	1.046207388
664	1.046193631
665	1.046177926
666	1.046163989
667	1.046148489
668	1.046082075
669	1.046067898
670	1.046053442
671	1.046039348
672	1.046023504
673	1.045963705
674	1.045948031
675	1.045932183
676	1.045861023
677	1.045846551
678	1.045829779
679	1.045814718
680	1.045799055
681	1.045781908
682	1.045767972
683	1.045754359
684	1.045739964
685	1.045724821
686	1.045709558
687	1.045694286
688	1.045679026
689	1.045663725
690	1.045648513
691	1.045632173
692	1.045617042
693	1.04560226
694	1.045586485
695	1.045571037
696	1.045545717
697	1.045530217
698	1.045514225
699	1.045471838
700	1.045455978
701	1.045441603
702	1.045425401
703	1.04541107
704	1.045395162
705	1.045378311
706	1.045232846
707	1.045218045
708	1.045202051
709	1.045185824
710	1.045171105
711	1.045154975
712	1.045139834
713	1.045125195
714	1.045108677
715	1.045094047
716	1.045078621
717	1.045062259
718	1.04504559
719	1.04503017
720	1.045015883
721	1.045001323
722	1.044981194
723	1.044967712
724	1.044951834
725	1.044936708
726	1.044922748
727	1.044910729
728	1.04489695
729	1.044881893
730	1.044867454
731	1.044851591
732	1.04483454
733	1.044818944
734	1.044803132
735	1.044789287
736	1.044772962
737	1.044757112
738	1.044740097
739	1.04472438
740	1.044709621
741	1.044692984
742	1.044676967
743	1.044662445
744	1.044646646
745	1.044633363
746	1.044618116
747	1.044507274
748	1.044493687
749	1.044477931
750	1.044461928
751	1.044447421
752	1.044432583
753	1.044418481
754	1.044402979
755	1.044388231
756	1.04437216
757	1.044355802
758	1.044341193
759	1.044327112
760	1.04431211
761	1.044296632
762	1.044281445
763	1.044265499
764	1.044249425
765	1.044236138
766	1.04421987
767	1.044204501
768	1.044143853
769	1.044128457
770	1.044113921
771	1.044097613
772	1.044082453
773	1.044065318
774	1.044049265
775	1.0440345
776	1.044019354
777	1.043519117
778	1.04350262
779	1.043489578
780	1.0434738
781	1.043459015
782	1.043442369
783	1.043367468
784	1.043351443
785	1.043337993
786	1.043323219
787	1.043307897
788	1.043292201
789	1.043276588
790	1.043262964
791	1.043246624
792	1.043231357
793	1.043216728
794	1.043201908
795	1.043184884
796	1.043170816
797	1.043155876
798	1.043140059
799	1.043125218
800	1.043107984
801	1.043092196
802	1.043075861
803	1.043059608
804	1.043043982
805	1.04302829
806	1.043014044
807	1.04299927
808	1.042985679
809	1.042970074
810	1.042954095
811	1.042938893
812	1.042923058
813	1.042908242
814	1.042892089
815	1.042878279
816	1.042863681
817	1.042850155
818	1.042835779
819	1.042820484
820	1.04280607
821	1.042791365
822	1.04277529
823	1.042759805
824	1.042743249
825	1.042729758
826	1.042714876
827	1.042700062
828	1.042685963
829	1.042669694
830	1.04265395
831	1.042638793
832	1.042623981
833	1.042607853
834	1.042525445
835	1.042510979
836	1.042495542
837	1.042481088
838	1.042466024
839	1.042449893
840	1.042433938
841	1.04242134
842	1.042406658
843	1.042392371
844	1.042376655
845	1.042360068
846	1.042343386
847	1.042327978
848	1.042311533
849	1.042295625
850	1.042280451
851	1.042265217
852	1.042247901
853	1.042231895
854	1.042216912
855	1.042202134
856	1.042186443
857	1.042171203
858	1.04215547
859	1.042081654
860	1.042065529
861	1.042051613
862	1.042037095
863	1.042020685
864	1.04200391
865	1.041987158
866	1.04197343
867	1.041957901
868	1.041943318
869	1.041928947
870	1.041913205
871	1.041897909
872	1.041884329
873	1.041867499
874	1.041850914
875	1.04183523
876	1.041819011
877	1.041803325
878	1.04178899
879	1.041774242
880	1.041759862
881	1.041744832
882	1.041729308
883	1.041714748
884	1.041661652
885	1.041646293
886	1.041629737
887	1.041614857
888	1.041600715
889	1.041585135
890	1.041569238
891	1.041554282
892	1.041410778
893	1.041395098
894	1.041380271
895	1.041364827
896	1.041349284
897	1.041332938
898	1.04131805
899	1.041300794
900	1.04128604
901	1.041270019
902	1.041255009
903	1.041240283
904	1.04122583
905	1.041212132
906	1.041197197
907	1.041181184
908	1.04116572
909	1.041152292
910	1.041136136
911	1.041119429
912	1.041104096
913	1.0410877
914	1.04107475
915	1.041060587
916	1.041047602
917	1.041031499
918	1.041017461
919	1.041002593
920	1.040986853
921	1.040970067
922	1.04095489
923	1.040938737
924	1.040924219
925	1.040909254
926	1.040894732
927	1.04087737
928	1.040862451
929	1.040846674
930	1.040831108
931	1.040817615
932	1.040804759
933	1.040790703
934	1.040774264
935	1.040759353
936	1.040743437
937	1.04072749
938	1.040711681
939	1.040696335
940	1.040681585
941	1.040665256
942	1.040650526
943	1.040634034
944	1.040619353
945	1.040602976
946	1.040587845
947	1.04057209
948	1.040557066
949	1.040542778
950	1.040526147
951	1.040511541
952	1.040496809
953	1.0404806
954	1.04046506
955	1.040448202
956	1.040431646
957	1.040416568
958	1.040400869
959	1.040385183
960	1.040369188
961	1.040352865
962	1.040337983
963	1.040325433
964	1.040304134
965	1.040288892
966	1.040274207
967	1.040259651
968	1.040245559
969	1.040230203
970	1.040215582
971	1.040200428
972	1.040130999
973	1.040116419
974	1.04010156
975	1.040087021
976	1.040072246
977	1.039959423
978	1.039944496
979	1.039929564
980	1.039913595
981	1.039899108
982	1.039884972
983	1.039869914
984	1.039854564
985	1.039837721
986	1.039822376
987	1.039807024
988	1.039789943
989	1.039774779
990	1.039759577
991	1.039744728
992	1.039729576
993	1.03971341
994	1.039696742
995	1.039681895
996	1.039666122
997	1.039650915
998	1.039635286
999	1.039620528
